"id","hhid14","age","age2","male","married","educ","hhsize","rural","disability","dis_phys","dis_cog","dis_vis","dis_hear","dis_verb","dis_men","dis_autism","employ","wage","ln_wage","sec_agr","sec_min","sec_man","sec_ele","sec_con","sec_who","sec_tra","sec_fin","sec_soc","sec_other"
"10008007","1000800",26,676,1,1,12,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008009","1000800",15,225,1,0,9,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008311","1000831",43,1849,1,1,12,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008312","1000831",39,1521,0,1,9,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008313","1000831",17,289,1,0,12,2,0,0,0,0,0,0,0,0,0,1,4e+05,12.8992198260901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008314","1000831",15,225,1,0,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008321","1000832",33,1089,1,1,6,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008322","1000832",35,1225,0,1,6,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008323","1000832",15,225,1,0,0,3,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008411","1000841",37,1369,1,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008412","1000841",34,1156,0,1,9,2,0,0,0,0,0,0,0,0,0,1,14500,9.58190392840867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008413","1000841",18,324,1,0,12,2,0,0,0,0,0,0,0,0,0,1,2280000,14.6396860009306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008511","1000851",40,1600,1,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10008512","1000851",34,1156,0,1,6,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009001","1000900",61,3721,1,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009002","1000900",58,3364,0,1,6,2,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009007","1000900",24,576,1,0,0,2,0,0,0,0,0,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,0
"10009311","1000931",36,1296,1,1,9,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009314","1000931",30,900,0,1,6,3,0,0,0,0,0,0,0,0,0,1,3e+05,12.6115377536383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009421","1000942",27,729,1,1,0,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009422","1000942",36,1296,0,1,6,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009511","1000951",25,625,1,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009512","1000951",30,900,0,1,9,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10009531","1000953",16,256,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10011002","1001100",72,5184,0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,150000,11.9183905730784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10012001","1001200",48,2304,1,1,0,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10012002","1001200",42,1764,0,1,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10012003","1001200",21,441,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10012004","1001200",19,361,0,0,0,2,0,1,0,0,1,0,0,0,0,1,2500000,14.7318012898384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10012005","1001200",15,225,1,0,12,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10013002","1001300",55,3025,0,0,6,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10013005","1001300",17,289,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4e+05,12.8992198260901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10015001","1001500",56,3136,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1500000,14.2209756660724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10015002","1001500",50,2500,0,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10015003","1001500",32,1024,0,0,12,2,0,1,0,0,1,0,0,0,0,1,2500000,14.7318012898384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10015004","1001500",28,784,1,0,12,2,0,0,0,0,0,0,0,0,0,1,2200000,14.6039679183285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10015005","1001500",23,529,1,0,9,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017001","1001700",64,4096,1,1,9,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100170010","1001700",48,2304,1,1,12,3,0,0,0,0,0,0,0,0,0,1,2300000,14.6484196808994,0,0,0,0,0,0,0,0,1,0
"10017009","1001700",46,2116,0,1,12,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017314","1001731",35,1225,0,1,6,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017315","1001731",36,1296,1,1,12,2,0,0,0,0,0,0,0,0,0,1,4e+06,15.2018049190842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017411","1001741",34,1156,1,1,12,3,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017415","1001741",40,1600,0,1,9,3,0,1,0,0,1,0,0,0,0,1,3500000,15.0682735264596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017511","1001751",33,1089,1,1,12,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017512","1001751",33,1089,0,1,12,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10017521","1001752",19,361,0,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018001","1001800",71,5041,0,0,6,2,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10018002","1001800",45,2025,1,0,12,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020001","1002000",76,5776,1,1,6,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100200010","1002000",19,361,1,0,6,2,0,0,0,0,0,0,0,0,0,1,2e+06,14.5086577385242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020002","1002000",71,5041,0,1,6,2,0,0,0,0,0,0,0,0,0,1,9e+05,13.7101500423064,0,0,0,0,0,1,0,0,0,0
"10020003","1002000",37,1369,0,1,6,2,0,0,0,0,0,0,0,0,0,1,40000,10.5966347330961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020005","1002000",43,1849,1,1,NA,2,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020006","1002000",21,441,0,0,12,2,0,0,0,0,0,0,0,0,0,1,2400000,14.6909792953182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020007","1002000",19,361,0,0,12,2,0,1,0,0,1,0,0,0,0,1,1800000,14.4032972228664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10020008","1002000",16,256,0,0,12,2,0,0,0,0,0,0,0,0,0,1,44000,10.6919449129004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10041002","1004100",72,5184,0,0,6,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10041003","1004100",28,784,0,1,12,2,0,0,0,0,0,0,0,0,0,1,2050000,14.5333503511146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10041005","1004100",27,729,1,1,12,2,0,0,0,0,0,0,0,0,0,1,2500000,14.7318012898384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10043001","1004300",74,5476,1,1,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100430013","1004300",33,1089,0,1,9,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10043002","1004300",70,4900,0,1,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10043006","1004300",32,1024,1,1,12,3,0,0,0,0,0,0,0,0,0,1,6e+05,13.3046849341983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10043007","1004300",30,900,1,1,12,3,0,0,0,0,0,0,0,0,0,1,1700000,14.3461388090264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10043311","1004331",40,1600,1,1,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
